Level,00
Coarse Tune,01
Fine Tune,02
0000 cccc,05
Random Pitch Depth,06
Pan,07
Pan Keyfollow,08
Random Pan Depth,0A
Alternate Pan Depth,0B
Envelope Mode,0C
Delay Mode,0D
DelayTime Sync,0E
DelayTimenote),0F
0000 cccc,12
DelayTime,13
Chorus Send Level,14
Reverb Send Level,15
Receive Bender,16
Receive Expression,17
Receive Hold-1,18
Redamper Switch,19
Output Assign,1A
Wave Group Type,1B
0000 cccc,1E
Wave Group ID,1F
0000 cccc,22
Wave Number L,23
0000 cccc,26
Wave Number R,27
Gain,28
FXM Switch,29
FXM Color,2A
FXM Depth,2B
0000 cccc,2E
Pitch Keyfollow,2F
Soft EQ Sens,30
TVF Filter Type,31
0000 cccc,34
TVF Cutoff Frequency,35
0000 cccc,38
TVF Cutoff Keyfollow,39
TVF Cutoff Velocity Curve,3A
TVF Cutoff Velocity Sens,3C
0000 cccc,3F
TVF Resonance,40
Bias Level,43
Bias Position,45
Bias Direction,46
TVA Level Velocity Curve,47
TVA Level Velocity Sens,49
Pitch Env Time Keyfollow,4B
TVF Env Time Keyfollow,4D
TVA Env Time Keyfollow,4F
Vibrato Pitch Sens,51
Vibrato Cutoff Sens,53
Vibrato Level Sens,55
Source,56
Destination 1,57
Sens 1,58
Destination 2,59
Sens 2,5A
Destination 3,5B
Sens 3,5C
Destination 4,5D
Sens 4,5E
Source,5F
Destination 1,60
Sens 1,61
Destination 2,62
Sens 2,63
Destination 3,64
Sens 3,65
Destination 4,66
Sens 4,67
Source,68
Destination 1,69
Sens 1,6A
Destination 2,6B
Sens 2,6C
Destination 3,6D
Sens 3,6E
Destination 4,6F
Sens 4,70
Source,71
Destination 1,72
Sens 1,73
Destination 2,74
Sens 2,75
Destination 3,76
Sens 3,77
Destination 4,78
Sens 4,79
Damper Free Note,7A
Stereo Width,7B
Stereo Detune,7C
Wave Tempo Sync,7F
0000 cccc,02
Inst Number,03
Inst Bank,04
0000 cccc,07
Inst Group ID,08
Level,09
Pan,0A
Chorus Send Level,0B
Reverb Send Level,0C
Mute Group,0D
Output Assign,0E
Key Offset,0F
Fine Tune Offset,10
TVA Attack Time Offset,16
TVA Decay Time Offset,18
TVA Release Time Offset,19
Name,00
Name,01
Name,02
Name,03
Name,04
Name,05
Name,06
Name,07
Name,08
Name,09
Name,0A
Name,0B
Name,0C
Name,0D
Name,0E
Name,0F
Category,10
Level,11
Source Key,12
Fine Tune,13
0000 cccc,16
Random Pitch Depth,17
Random Pan Depth,18
Alternate Pan Depth,19
Assign Type,1A
Envelope Mode,1B
WMT Velocity Control,1C
Wave Switch,1D
Wave Group Type,1E
0000 cccc,21
Wave Group ID,22
0000 cccc,25
Wave Number L,26
